Q. No.,Subject,Topic,Correct Answer,Solution/Reasoning
1,Physics,Newton’s Laws – Tension,30 N,"Acceleration = a = \\frac{60}{60} = 1. Tension T_2 = m_3 \\cdot a = 30."
2,Physics,Inclined system,18.98 N,Force resolution along incline.
…,…,…,…,…
46,Chemistry,Chemical Bonding,"PCl₅, XeF₂, XeF₄, XeF₆",Expanded octet examples.
55,Chemistry,Formal charges in O₃,"'-1, 0, +1",Resonance structure distribution.
…,…,…,…,…
91,Biology (Botany),Plant Physiology,Correct option,Based on NCERT Botany syllabus.
111,Biology (Zoology),Animal Physiology,Correct option,Derived from Zoology section.
…,…,…,…,…
180,Biology (Zoology),Genetics/Applied Biology,Correct option,Final reasoning per NCERT.
